id,hasTranslation,surah_ayah,surah_no,ayah_no,hasBroadCategories,hasScientificTopics,hasContextualReference,hasScientificConceptID,hasScientificTafsirTopics,hasScientificNodes,hasTafsirID,hasThemes,hasText
33,"Joseph replied, “You will plant ˹grain˺ for seven consecutive years, leaving in the ear whatever you will harvest, except for the little you will eat.",12:47,12,47,"[""biological""]","[""plant_life_agriculture""]",,,"[""Grain Preservation Techniques""]",,TAAK_1_12_47,"[""process"",""prophetic_scientific""]",قَالَ تَزْرَعُونَ سَبْعَ سِنِينَ دَأَبًۭا فَمَا حَصَدتُّمْ فَذَرُوهُ فِى سُنۢبُلِهِۦٓ إِلَّا قَلِيلًۭا مِّمَّا تَأْكُلُونَ
34,"It is Allah Who has raised the heavens without pillars—as you can see—then established Himself on the Throne. He has subjected the sun and the moon, each orbiting for an appointed term. He conducts the whole affair. He makes the signs clear so that you may be certain of the meeting with your Lord.",13:2,13,2,"[""physical"",""cosmological""]","[""energy_radiation"",""astronomy_celestial"",""cosmology_universe""]",,,"[""Fundamental Forces of the Universe""]",,TAAK_1_13_2,"[""phenomena"",""metaphorical""]",ٱللَّهُ ٱلَّذِى رَفَعَ ٱلسَّمَٰوَٰتِ بِغَيْرِ عَمَدٍۢ تَرَوْنَهَا ۖ ثُمَّ ٱسْتَوَىٰ عَلَى ٱلْعَرْشِ ۖ وَسَخَّرَ ٱلشَّمْسَ وَٱلْقَمَرَ ۖ كُلٌّۭ يَجْرِى لِأَجَلٍۢ مُّسَمًّۭى ۚ يُدَبِّرُ ٱلْأَمْرَ يُفَصِّلُ ٱلْءَايَٰتِ لَعَلَّكُم بِلِقَآءِ رَبِّكُمْ تُوقِنُونَ
35,"And on the earth there are ˹different˺ neighbouring tracts, gardens of grapevines, ˹various˺ crops, palm trees—some stemming from the same root, others standing alone. They are all irrigated with the same water, yet We make some taste better than others. Surely in this are signs for those who understand.",13:4,13,4,"[""biological"",""geological""]","[""plant_life_agriculture"",""landforms"",""earth_layers""]",,,"[""Soil Diversity & Lithospheric Plates""]",,TAAK_1_13_4,"[""signs_to_reflect_upon"",""biological_diversity""]",وَفِى ٱلْأَرْضِ قِطَعٌۭ مُّتَجَٰوِرَٰتٌۭ وَجَنَّٰتٌۭ مِّنْ أَعْنَٰبٍۢ وَزَرْعٌۭ وَنَخِيلٌۭ صِنْوَانٌۭ وَغَيْرُ صِنْوَانٍۢ يُسْقَىٰ بِمَآءٍۢ وَٰحِدٍۢ وَنُفَضِّلُ بَعْضَهَا عَلَىٰ بَعْضٍۢ فِى ٱلْأُكُلِ ۚ إِنَّ فِى ذَٰلِكَ لَءَايَٰتٍۢ لِّقَوْمٍۢ يَعْقِلُونَ
36,Allah knows what every female bears and what increases and decreases in the wombs. And with Him everything is determined with precision.,13:8,13,8,"[""biological"",""order_and_design""]","[""embryology_development"",""physiology"",""reproduction_heredity"",""qadar""]",,"[""EMBRYO""]","[""Embryonic Development & Growth""]",,TAAK_1_13_8,"[""knowledge_understanding""]",ٱللَّهُ يَعْلَمُ مَا تَحْمِلُ كُلُّ أُنثَىٰ وَمَا تَغِيضُ ٱلْأَرْحَامُ وَمَا تَزْدَادُ ۖ وَكُلُّ شَىْءٍ عِندَهُۥ بِمِقْدَارٍ
37,"He sends down rain from the sky, causing the valleys to flow, each according to its capacity. The currents then carry along rising foam, similar to the slag produced from metal that people melt in the fire for ornaments or tools. This is how Allah compares truth to falsehood. The ˹worthless˺ residue is then cast away, but what benefits people remains on the earth. This is how Allah sets forth parables.",13:17,13,17,"[""geological"",""physical""]","[""minerals_metals"",""hydrology_water_cycle""]",,"[""HYDRO_METEO""]","[""Sedimentation & Water Flow"",""Metal smelting analogy""]","[""HYDRO_METEO_09""]",TAAK_1_13_17,"[""analogical"",""environmental_balance""]",أَنزَلَ مِنَ ٱلسَّمَآءِ مَآءًۭ فَسَالَتْ أَوْدِيَةٌۢ بِقَدَرِهَا فَٱحْتَمَلَ ٱلسَّيْلُ زَبَدًۭا رَّابِيًۭا ۚ وَمِمَّا يُوقِدُونَ عَلَيْهِ فِى ٱلنَّارِ ٱبْتِغَآءَ حِلْيَةٍ أَوْ مَتَٰعٍۢ زَبَدٌۭ مِّثْلُهُۥ ۚ كَذَٰلِكَ يَضْرِبُ ٱللَّهُ ٱلْحَقَّ وَٱلْبَٰطِلَ ۚ فَأَمَّا ٱلزَّبَدُ فَيَذْهَبُ جُفَآءًۭ ۖ وَأَمَّا مَا يَنفَعُ ٱلنَّاسَ فَيَمْكُثُ فِى ٱلْأَرْضِ ۚ كَذَٰلِكَ يَضْرِبُ ٱللَّهُ ٱلْأَمْثَالَ
38,Do they not see that We gradually reduce their land from its borders? Allah decides—none can reverse His decision. And He is swift in reckoning.,13:41,13,41,"[""geological""]","[""landforms"",""earthquakes_surface_change"",""environmental_renewal_erosion""]",,,"[""Erosion and Shaping of the Earth""]",,TAAK_1_13_41,"[""process""]",أَوَلَمْ يَرَوْا۟ أَنَّا نَأْتِى ٱلْأَرْضَ نَنقُصُهَا مِنْ أَطْرَافِهَا ۚ وَٱللَّهُ يَحْكُمُ لَا مُعَقِّبَ لِحُكْمِهِۦ ۚ وَهُوَ سَرِيعُ ٱلْحِسَابِ
39,"And even if We opened for them a gate to heaven, through which they continued to ascend,",15:14,15,14,"[""physical"",""cosmological""]","[""light_and_darkness"",""heavens_chracteristics""]","[""15""]",,"[""The Blackness of Space""]",,TAAK_1_15_14-15,"[""heavenly_ascent""]",وَلَوْ فَتَحْنَا عَلَيْهِم بَابًۭا مِّنَ ٱلسَّمَآءِ فَظَلُّوا۟ فِيهِ يَعْرُجُونَ
40,"We send fertilizing winds, and bring down rain from the sky for you to drink. It is not you who hold its reserves.",15:22,15,22,"[""biological"",""geological""]","[""plant_life_agriculture"",""hydrology_water_cycle"",""winds_movement"",""atmospheric_phenomena""]",,,"[""Winds as Pollinators (Clouds/Plants)""]",,TAAK_1_15_22,"[""process""]",وَأَرْسَلْنَا ٱلرِّيَٰحَ لَوَٰقِحَ فَأَنزَلْنَا مِنَ ٱلسَّمَآءِ مَآءًۭ فَأَسْقَيْنَٰكُمُوهُ وَمَآ أَنتُمْ لَهُۥ بِخَٰزِنِينَ
41,"He is the One Who sends down rain from the sky, from which you drink and by which plants grow for your cattle to graze.",16:10,16,10,"[""biological"",""geological""]","[""plant_life_agriculture"",""hydrology_water_cycle""]",,"[""HYDRO_METEO""]","[""Water Precipitation & Life Support""]","[""HYDRO_METEO_04. HYDRO_METEO_10""]",TAAK_1_16_10,"[""process""]",هُوَ ٱلَّذِىٓ أَنزَلَ مِنَ ٱلسَّمَآءِ مَآءًۭ ۖ لَّكُم مِّنْهُ شَرَابٌۭ وَمِنْهُ شَجَرٌۭ فِيهِ تُسِيمُونَ
42,And ˹He subjected˺ for you whatever He has created on earth of varying colours. Surely in this is a sign for those who are mindful.,16:13,16,13,"[""biological"",""geological""]","[""animal_behavior_ecosystems"",""minerals_metals""]",,,"[""Biodiversity & Distinction""]",,TAAK_1_16_13,"[""signs_to_reflect_upon"",""biological_diversity""]",وَمَا ذَرَأَ لَكُمْ فِى ٱلْأَرْضِ مُخْتَلِفًا أَلْوَٰنُهُۥٓ ۗ إِنَّ فِى ذَٰلِكَ لَءَايَةًۭ لِّقَوْمٍۢ يَذَّكَّرُونَ
43,"He has placed into the earth firm mountains, so it does not shake with you, as well as rivers, and pathways so you may find your way.",16:15,16,15,"[""geological""]","[""mountains_stability"",""mountains_formation"",""landforms"",""earth_layers""]",,,"[""Mountains as Stabilizers""]",,TAAK_1_16_15,"[""process"",""environmental_balance""]",وَأَلْقَىٰ فِى ٱلْأَرْضِ رَوَٰسِىَ أَن تَمِيدَ بِكُمْ وَأَنْهَٰرًۭا وَسُبُلًۭا لَّعَلَّكُمْ تَهْتَدُونَ
44,"Indeed, those before them had plotted, but Allah struck at the ˹very˺ foundation of their structure, so the roof collapsed on top of them, and the torment came upon them from where they did not expect.",16:26,16,26,"[""geological""]","[""earthquakes_surface_change""]",,,"[""Volcanic Eruptions & Seismic Activity""]",,TAAK_1_16_26,"[""ecological_disruption"",""phenomena"",""metaphorical""]",قَدْ مَكَرَ ٱلَّذِينَ مِن قَبْلِهِمْ فَأَتَى ٱللَّهُ بُنْيَٰنَهُم مِّنَ ٱلْقَوَاعِدِ فَخَرَّ عَلَيْهِمُ ٱلسَّقْفُ مِن فَوْقِهِمْ وَأَتَىٰهُمُ ٱلْعَذَابُ مِنْ حَيْثُ لَا يَشْعُرُونَ
45,"And there is certainly a lesson for you in cattle: We give you to drink of what is in their bellies, from between digested food and blood: pure milk, pleasant to drink.",16:66,16,66,"[""biological""]","[""physiology""]",,,"[""Mechanism of Milk Production""]",,TAAK_1_16_66,"[""signs_to_reflect_upon"",""process"",""ethical_theological""]",وَإِنَّ لَكُمْ فِى ٱلْأَنْعَٰمِ لَعِبْرَةًۭ ۖ نُّسْقِيكُم مِّمَّا فِى بُطُونِهِۦ مِنۢ بَيْنِ فَرْثٍۢ وَدَمٍۢ لَّبَنًا خَالِصًۭا سَآئِغًۭا لِّلشَّٰرِبِينَ
46,"And your Lord inspired the bees: “Make ˹your˺ homes in the mountains, the trees, and in what people construct,",16:68,16,68,"[""biological"",""order_and_design""]","[""animal_behavior_ecosystems"",""entomology"",""social_organization""]",,"[""BEE_BIO""]","[""Honeybee Community & Architecture"",""Architecture/Engineering""]","[""BEE_BIO_1"",""BEE_BIO_2"",""BEE_BIO_11""]",TAAK_1_16_68,"[""signs_to_reflect_upon"",""biological_diversity"",""prophetic_scientific""]",وَأَوْحَىٰ رَبُّكَ إِلَى ٱلنَّحْلِ أَنِ ٱتَّخِذِى مِنَ ٱلْجِبَالِ بُيُوتًۭا وَمِنَ ٱلشَّجَرِ وَمِمَّا يَعْرِشُونَ
47,"and feed from ˹the flower of˺ any fruit ˹you please˺ and follow the ways your Lord has made easy for you.” From their bellies comes forth liquid of varying colours, in which there is healing for people. Surely in this is a sign for those who reflect.",16:69,16,69,"[""biological""]","[""physiology"",""health"",""entomology""]",,"[""BEE_BIO"",""PROPOLIS"",""BEE_SENSE""]","[""Adaptation of the Bee"",""Honey"",""Wax"",""Venom"",""Propolis"",""Medicinal compounds"",""Chemistry""]","[""BEE_BIO_3"",""BEE_BIO_4"",""BEE_SENSE_01"",""BEE_BIO_5"",""BEE_BIO_6"",""BEE_BIO_8"",""PROPOLIS_01"",""BEE_BIO_9"",""BEE_BIO_10"",""PROPOLIS_04""]",TAAK_1_16_69,"[""signs_to_reflect_upon"",""process"",""biological_diversity""]",ثُمَّ كُلِى مِن كُلِّ ٱلثَّمَرَٰتِ فَٱسْلُكِى سُبُلَ رَبِّكِ ذُلُلًۭا ۚ يَخْرُجُ مِنۢ بُطُونِهَا شَرَابٌۭ مُّخْتَلِفٌ أَلْوَٰنُهُۥ فِيهِ شِفَآءٌۭ لِّلنَّاسِ ۗ إِنَّ فِى ذَٰلِكَ لَءَايَةًۭ لِّقَوْمٍۢ يَتَفَكَّرُونَ
48,"And Allah has provided you shade out of what He created, and has given you shelter in the mountains. He has also provided you with clothes protecting you from the heat ˹and cold˺, and armour shielding you in battle. This is how He perfects His favour upon you, so perhaps you will ˹fully˺ submit ˹to Him˺.",16:81,16,81,"[""biological"",""physical""]","[""physiology"",""energy_radiation""]",,,"[""Physics of Light and Heat""]",,TAAK_1_16_81,"[""phenomena"",""material_substance_reference""]",وَٱللَّهُ جَعَلَ لَكُم مِّمَّا خَلَقَ ظِلَٰلًۭا وَجَعَلَ لَكُم مِّنَ ٱلْجِبَالِ أَكْنَٰنًۭا وَجَعَلَ لَكُمْ سَرَٰبِيلَ تَقِيكُمُ ٱلْحَرَّ وَسَرَٰبِيلَ تَقِيكُم بَأْسَكُمْ ۚ كَذَٰلِكَ يُتِمُّ نِعْمَتَهُۥ عَلَيْكُمْ لَعَلَّكُمْ تُسْلِمُونَ
49,"He has only forbidden you ˹to eat˺ carrion, blood, swine, and what is slaughtered in the name of any other than Allah. But if someone is compelled by necessity—neither driven by desire nor exceeding immediate need—then surely Allah is All-Forgiving, Most Merciful.",16:115,16,115,"[""biological""]","[""health"",""pathology""]",,,"[""Health impact of forbidden foods""]",,TAAK_1_16_115,"[""ethical_theological""]",إِنَّمَا حَرَّمَ عَلَيْكُمُ ٱلْمَيْتَةَ وَٱلدَّمَ وَلَحْمَ ٱلْخِنزِيرِ وَمَآ أُهِلَّ لِغَيْرِ ٱللَّهِ بِهِۦ ۖ فَمَنِ ٱضْطُرَّ غَيْرَ بَاغٍۢ وَلَا عَادٍۢ فَإِنَّ ٱللَّهَ غَفُورٌۭ رَّحِيمٌۭ
50,"We made the day and night as two signs. So We made the sign of the night devoid of light, and We made the sign of the day ˹perfectly˺ bright, so that you may seek the bounty of your Lord and know the number of years and calculation ˹of time˺. And We have explained everything in detail.",17:12,17,12,"[""biological"",""cosmological""]","[""physiology"",""day_night_cycles""]",,,"[""Circadian Rhythms""]",,TAAK_1_17_12,"[""environmental_balance""]",وَجَعَلْنَا ٱلَّيْلَ وَٱلنَّهَارَ ءَايَتَيْنِ ۖ فَمَحَوْنَآ ءَايَةَ ٱلَّيْلِ وَجَعَلْنَآ ءَايَةَ ٱلنَّهَارِ مُبْصِرَةًۭ لِّتَبْتَغُوا۟ فَضْلًۭا مِّن رَّبِّكُمْ وَلِتَعْلَمُوا۟ عَدَدَ ٱلسِّنِينَ وَٱلْحِسَابَ ۚ وَكُلَّ شَىْءٍۢ فَصَّلْنَٰهُ تَفْصِيلًۭا
51,"The seven heavens, the earth, and all those in them glorify Him. There is not a single thing that does not glorify His praises—but you ˹simply˺ cannot comprehend their glorification. He is indeed Most Forbearing, All-Forgiving.",17:44,17,44,"[""biological""]","[""animal_behavior_ecosystems""]",,,"[""All creation glorifies Him""]",,TAAK_1_17_44,"[""signs_to_reflect_upon"",""ethical_theological"",""Glorification of creatures beyond comprehension""]",تُسَبِّحُ لَهُ ٱلسَّمَٰوَٰتُ ٱلسَّبْعُ وَٱلْأَرْضُ وَمَن فِيهِنَّ ۚ وَإِن مِّن شَىْءٍ إِلَّا يُسَبِّحُ بِحَمْدِهِۦ وَلَٰكِن لَّا تَفْقَهُونَ تَسْبِيحَهُمْ ۗ إِنَّهُۥ كَانَ حَلِيمًا غَفُورًۭا
52,"So We caused them to fall into a dead sleep in the cave for many years,",18:11,18,11,"[""biological""]","[""physiology""]",,,"[""Striking the Ear""]",,TAAK_2_18_11,"[""prophetic_scientific""]",فَضَرَبْنَا عَلَىٰٓ ءَاذَانِهِمْ فِى ٱلْكَهْفِ سِنِينَ عَدَدًۭا
53,"And you would have thought they were awake, though they were asleep. We turned them over, to the right and left, while their dog stretched his forelegs at the entrance. Had you looked at them, you would have certainly fled away from them, filled with horror.",18:18,18,18,"[""biological""]","[""physiology""]",,,"[""Physiology of Cave Sleepers""]",,TAAK_2_18_18,"[""prophetic_scientific"",""historical_event""]",وَتَحْسَبُهُمْ أَيْقَاظًۭا وَهُمْ رُقُودٌۭ ۚ وَنُقَلِّبُهُمْ ذَاتَ ٱلْيَمِينِ وَذَاتَ ٱلشِّمَالِ ۖ وَكَلْبُهُم بَٰسِطٌۭ ذِرَاعَيْهِ بِٱلْوَصِيدِ ۚ لَوِ ٱطَّلَعْتَ عَلَيْهِمْ لَوَلَّيْتَ مِنْهُمْ فِرَارًۭا وَلَمُلِئْتَ مِنْهُمْ رُعْبًۭا
54,To Him belongs whatever is in the heavens and whatever is on the earth and whatever is in between and whatever is underground.,20:6,20,6,"[""geological""]","[""minerals_metals"",""earth_layers""]",,,"[""Beneath the soil""]",,TAAK_2_20_6,"[""material_substance_reference""]",لَهُۥ مَا فِى ٱلسَّمَٰوَٰتِ وَمَا فِى ٱلْأَرْضِ وَمَا بَيْنَهُمَا وَمَا تَحْتَ ٱلثَّرَىٰ
55,"From the earth We created you, and into it We will return you, and from it We will bring you back again.",20:55,20,55,"[""biological""]","[""human_development"",""physiology""]",,,"[""Decomposition and the Tailbone"",""Coccyx persistence""]",,TAAK_2_20_55,"[""process"",""prophetic_scientific""]",۞ مِنْهَا خَلَقْنَٰكُمْ وَفِيهَا نُعِيدُكُمْ وَمِنْهَا نُخْرِجُكُمْ تَارَةً أُخْرَىٰ
56,Do the disbelievers not realize that the heavens and earth were ˹once˺ one mass then We split them apart? And We created from water every living thing. Will they not then believe?,21:30,21,30,"[""biological"",""cosmological""]","[""physiology"",""cosmology_universe"",""big_bang""]",,"[""BigBang_COSMOS_EXPANSION""]","[""Ratq and Fatq | Joined entity and seperation""]","[""BigBang_CosmosExpansion_01"",""BigBang_CosmosExpansion_03""]",TAAK_2_21_30,"[""creation_story"",""skeptical_questioning""]",أَوَلَمْ يَرَ ٱلَّذِينَ كَفَرُوٓا۟ أَنَّ ٱلسَّمَٰوَٰتِ وَٱلْأَرْضَ كَانَتَا رَتْقًۭا فَفَتَقْنَٰهُمَا ۖ وَجَعَلْنَا مِنَ ٱلْمَآءِ كُلَّ شَىْءٍ حَىٍّ ۖ أَفَلَا يُؤْمِنُونَ
57,"And He is the One Who created the day and the night, the sun and the moon—each travelling in an orbit.",21:33,21,33,"[""cosmological""]","[""astronomy_celestial"",""celestial_bodies_movement"",""day_night_cycles""]",,,"[""Swimming in Orbit""]",,TAAK_2_21_33,"[""rotation_of_bodies""]",وَهُوَ ٱلَّذِى خَلَقَ ٱلَّيْلَ وَٱلنَّهَارَ وَٱلشَّمْسَ وَٱلْقَمَرَ ۖ كُلٌّۭ فِى فَلَكٍۢ يَسْبَحُونَ
58,"On that Day We will roll up the heavens like a scroll of writings. Just as We produced the first creation, ˹so˺ shall We reproduce it. That is a promise binding on Us. We truly uphold ˹Our promises˺!",21:104,21,104,"[""cosmological""]","[""cosmology_universe""]",,,"[""The Big Crunch theory"",""Rolling up heavens"",""Reversal of expansion""]",,TAAK_1_21_104,"[""creation_story"",""process"",""prophetic_scientific""]",يَوْمَ نَطْوِى ٱلسَّمَآءَ كَطَىِّ ٱلسِّجِلِّ لِلْكُتُبِ ۚ كَمَا بَدَأْنَآ أَوَّلَ خَلْقٍۢ نُّعِيدُهُۥ ۚ وَعْدًا عَلَيْنَآ ۚ إِنَّا كُنَّا فَٰعِلِينَ
59,"O humanity! If you are in doubt about the Resurrection, then ˹know that˺ We did create you—in order to demonstrate ˹Our power˺ to you. ˹Then˺ We settle whatever ˹embryo˺ We will in the womb for an appointed term, then bring you forth as infants, so that you may reach your prime. Some of you ˹may˺ die ˹young˺, while others are left to reach the most feeble stage of life so that they may know nothing after having known much. And you see the earth lifeless, but as soon as We send down rain upon it, it begins to stir ˹to life˺ and swell, producing every type of pleasant plant.",22:5,22,5,"[""biological"",""geological""]","[""embryology_development"",""plant_life_agriculture"",""hydrology_water_cycle"",""environmental_renewal_erosion""]",,"[""EMBRYO""]","[""Rain reviving dead land""]","[""EMBRYO_01"",""EMBRYO_04"",""EMBRYO_05""]",TAAK_2_22_5,"[""creation_story"",""process"",""prophetic_scientific""]",يَٰٓأَيُّهَا ٱلنَّاسُ إِن كُنتُمْ فِى رَيْبٍۢ مِّنَ ٱلْبَعْثِ فَإِنَّا خَلَقْنَٰكُم مِّن تُرَابٍۢ ثُمَّ مِن نُّطْفَةٍۢ ثُمَّ مِنْ عَلَقَةٍۢ ثُمَّ مِن مُّضْغَةٍۢ مُّخَلَّقَةٍۢ وَغَيْرِ مُخَلَّقَةٍۢ لِّنُبَيِّنَ لَكُمْ ۚ وَنُقِرُّ فِى ٱلْأَرْحَامِ مَا نَشَآءُ إِلَىٰٓ أَجَلٍۢ مُّسَمًّۭى ثُمَّ نُخْرِجُكُمْ طِفْلًۭا ثُمَّ لِتَبْلُغُوٓا۟ أَشُدَّكُمْ ۖ وَمِنكُم مَّن يُتَوَفَّىٰ وَمِنكُم مَّن يُرَدُّ إِلَىٰٓ أَرْذَلِ ٱلْعُمُرِ لِكَيْلَا يَعْلَمَ مِنۢ بَعْدِ عِلْمٍۢ شَيْـًۭٔا ۚ وَتَرَى ٱلْأَرْضَ هَامِدَةًۭ فَإِذَآ أَنزَلْنَا عَلَيْهَا ٱلْمَآءَ ٱهْتَزَّتْ وَرَبَتْ وَأَنۢبَتَتْ مِن كُلِّ زَوْجٍۭ بَهِيجٍۢ
60,Do you not see that Allah has subjected to you whatever is in the earth as well as the ships ˹that˺ sail through the sea by His command? He keeps the sky from falling down on the earth except by His permission. Surely Allah is Ever Gracious and Most Merciful to humanity.,22:65,22,65,"[""physical"",""cosmological""]","[""cosmology_universe""]",,,"[""Forces preventing cosmic collision""]",,TAAK_2_22_65,"[""phenomena"",""prophetic_scientific""]",أَلَمْ تَرَ أَنَّ ٱللَّهَ سَخَّرَ لَكُم مَّا فِى ٱلْأَرْضِ وَٱلْفُلْكَ تَجْرِى فِى ٱلْبَحْرِ بِأَمْرِهِۦ وَيُمْسِكُ ٱلسَّمَآءَ أَن تَقَعَ عَلَى ٱلْأَرْضِ إِلَّا بِإِذْنِهِۦٓ ۗ إِنَّ ٱللَّهَ بِٱلنَّاسِ لَرَءُوفٌۭ رَّحِيمٌۭ
61,"O humanity! A lesson is set forth, so listen to it ˹carefully˺: those ˹idols˺ you invoke besides Allah can never create ˹so much as˺ a fly, even if they ˹all˺ were to come together for that. And if a fly were to snatch anything away from them, they cannot ˹even˺ retrieve it from the fly. How powerless are those who invoke and those invoked!",22:73,22,73,"[""biological""]","[""entomology""]",,,"[""Wonders of the Fly creation""]",,TAAK_2_22_73,"[""signs_to_reflect_upon"",""prophetic_scientific"",""Challenge"",""Questioning""]",يَٰٓأَيُّهَا ٱلنَّاسُ ضُرِبَ مَثَلٌۭ فَٱسْتَمِعُوا۟ لَهُۥٓ ۚ إِنَّ ٱلَّذِينَ تَدْعُونَ مِن دُونِ ٱللَّهِ لَن يَخْلُقُوا۟ ذُبَابًۭا وَلَوِ ٱجْتَمَعُوا۟ لَهُۥ ۖ وَإِن يَسْلُبْهُمُ ٱلذُّبَابُ شَيْـًۭٔا لَّا يَسْتَنقِذُوهُ مِنْهُ ۚ ضَعُفَ ٱلطَّالِبُ وَٱلْمَطْلُوبُ
62,"And indeed, We created humankind from an extract of clay,",23:12,23,12,"[""biological""]","[""embryology_development"",""human_development""]",,,,,TAAK_2_23_12,"[""creation_story"",""process""]",وَلَقَدْ خَلَقْنَا ٱلْإِنسَٰنَ مِن سُلَٰلَةٍۢ مِّن طِينٍۢ
63,"then placed each ˹human˺ as a sperm-drop in a secure place,",23:13,23,13,"[""biological""]","[""embryology_development"",""human_development""]",,,,,TAAK_2_23_13,"[""creation_story"",""process""]",ثُمَّ جَعَلْنَٰهُ نُطْفَةًۭ فِى قَرَارٍۢ مَّكِينٍۢ
64,"then We developed the drop into a clinging clot ˹of blood˺, then developed the clot into a lump ˹of flesh˺, then developed the lump into bones, then clothed the bones with flesh, then We brought it into being as a new creation. So Blessed is Allah, the Best of Creators.",23:14,23,14,"[""biological""]","[""embryology_development"",""human_development""]",,,,,TAAK_2_23_14,"[""creation_story"",""process""]",ثُمَّ خَلَقْنَا ٱلنُّطْفَةَ عَلَقَةًۭ فَخَلَقْنَا ٱلْعَلَقَةَ مُضْغَةًۭ فَخَلَقْنَا ٱلْمُضْغَةَ عِظَٰمًۭا فَكَسَوْنَا ٱلْعِظَٰمَ لَحْمًۭا ثُمَّ أَنشَأْنَٰهُ خَلْقًا ءَاخَرَ ۚ فَتَبَارَكَ ٱللَّهُ أَحْسَنُ ٱلْخَٰلِقِينَ
65,"We send down rain from the sky in perfect measure, causing it to soak into the earth. And We are surely able to take it away.",23:18,23,18,"[""geological"",""order_and_design""]","[""hydrology_water_cycle"",""qadar""]",,"[""HYDRO_METEO""]",,"[""HYDRO_METEO_09"",""HYDRO_METEO_11""]",TAAK_2_23_18,"[""process"",""environmental_balance""]",وَأَنزَلْنَا مِنَ ٱلسَّمَآءِ مَآءًۢ بِقَدَرٍۢ فَأَسْكَنَّٰهُ فِى ٱلْأَرْضِ ۖ وَإِنَّا عَلَىٰ ذَهَابٍۭ بِهِۦ لَقَٰدِرُونَ
66,"as well as ˹olive˺ trees which grow at Mount Sinai, providing oil and a condiment to eat.",23:20,23,20,"[""biological""]","[""plant_life_agriculture"",""health""]",,,"[""Benefits of the Olive Tree""]",,TAAK_2_23_20,"[""signs_to_reflect_upon"",""Benifits of something""]",وَشَجَرَةًۭ تَخْرُجُ مِن طُورِ سَيْنَآءَ تَنۢبُتُ بِٱلدُّهْنِ وَصِبْغٍۢ لِّلْءَاكِلِينَ
67,"Or ˹their deeds are˺ like the darkness in a deep sea, covered by waves upon waves, topped by ˹dark˺ clouds. Darkness upon darkness! If one stretches out their hand, they can hardly see it. And whoever Allah does not bless with light will have no light!",24:40,24,40,"[""geological"",""physical""]","[""atmospheric_phenomena"",""oceanography"",""light_and_darkness""]",,"[""HYDRO_METEO""]",,,TAAK_2_24_40,"[""phenomena"",""metaphorical""]",أَوْ كَظُلُمَٰتٍۢ فِى بَحْرٍۢ لُّجِّىٍّۢ يَغْشَىٰهُ مَوْجٌۭ مِّن فَوْقِهِۦ مَوْجٌۭ مِّن فَوْقِهِۦ سَحَابٌۭ ۚ ظُلُمَٰتٌۢ بَعْضُهَا فَوْقَ بَعْضٍ إِذَآ أَخْرَجَ يَدَهُۥ لَمْ يَكَدْ يَرَىٰهَا ۗ وَمَن لَّمْ يَجْعَلِ ٱللَّهُ لَهُۥ نُورًۭا فَمَا لَهُۥ مِن نُّورٍ
68,"Do you not see that Allah gently drives the clouds, then joins them together, piling them up into masses, from which you see raindrops come forth? And He sends down from the sky mountains ˹of clouds˺ loaded with hail, pouring it on whoever He wills and averting it from whoever He wills. The flash of the clouds’ lightning nearly takes away eyesight.",24:43,24,43,"[""geological""]","[""hydrology_water_cycle""]",,"[""HYDRO_METEO""]","[""Stages of cloud Formation"",""Cloud seeding and growth"",""Physics of storm clouds"",""Formation of Hail"",""Thunder and lighting""]","[""HYDRO_METEO_01"",""HYDRO_METEO_02"",""HYDRO_METEO_03"",""HYDRO_METEO_04"",""HYDRO_METEO_05"",""HYDRO_METEO_06"",""HYDRO_METEO_07""]",TAAK_2_24_43,"[""process""]",أَلَمْ تَرَ أَنَّ ٱللَّهَ يُزْجِى سَحَابًۭا ثُمَّ يُؤَلِّفُ بَيْنَهُۥ ثُمَّ يَجْعَلُهُۥ رُكَامًۭا فَتَرَى ٱلْوَدْقَ يَخْرُجُ مِنْ خِلَٰلِهِۦ وَيُنَزِّلُ مِنَ ٱلسَّمَآءِ مِن جِبَالٍۢ فِيهَا مِنۢ بَرَدٍۢ فَيُصِيبُ بِهِۦ مَن يَشَآءُ وَيَصْرِفُهُۥ عَن مَّن يَشَآءُ ۖ يَكَادُ سَنَا بَرْقِهِۦ يَذْهَبُ بِٱلْأَبْصَٰرِ
69,"And Allah has created from water every living creature. Some of them crawl on their bellies, some walk on two legs, and some walk on four. Allah creates whatever He wills. Surely Allah is Most Capable of everything.",24:45,24,45,"[""biological""]","[""animal_behavior_ecosystems"",""entomology"",""creation_from_water""]",,,"[""Classification of creatures by movement""]",,TAAK_2_24_45,"[""signs_to_reflect_upon"",""biological_diversity""]",وَٱللَّهُ خَلَقَ كُلَّ دَآبَّةٍۢ مِّن مَّآءٍۢ ۖ فَمِنْهُم مَّن يَمْشِى عَلَىٰ بَطْنِهِۦ وَمِنْهُم مَّن يَمْشِى عَلَىٰ رِجْلَيْنِ وَمِنْهُم مَّن يَمْشِى عَلَىٰٓ أَرْبَعٍۢ ۚ يَخْلُقُ ٱللَّهُ مَا يَشَآءُ ۚ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَىْءٍۢ قَدِيرٌۭ
