id,SourceBook,PageNoStart,PageNoEnd,SurahNo,Ayah,ScientificTopicTextEnglish,Volume,ScientificTopicTextArabic,TafsirID
62,Tafsir Ayat Al Konia,109,118,21,30,The Big Bang theory ,2,نظرية الانفجار العظيم,TAAK_2_21_30
63,Tafsir Ayat Al Konia,119,130,21,30, The creation of all living beings from water,2,خلق كل الأحياء من الماء,TAAK_2_21_30
64,Tafsir Ayat Al Konia,131,140,21,33,"The movements of the sun, moon, and earth, and the alternation of night and day ",2,حركات الشمس والقمر والأرض وتعاقب الليل والنهار,TAAK_2_21_33
65,Tafsir Ayat Al Konia,141,152,21,104,The Big Crunch theory,2,نظرية الانسحاق العظيم,TAAK_2_21_104
66,Tafsir Ayat Al Konia,157,166,22,5,"The stages of human creation from a drop of fluid to a clinging clot, then a chewed-like lump",2,أطوار خلق الإنسان من النطفة فالعلقة ثم المضغة,TAAK_2_22_5
67,Tafsir Ayat Al Konia,167,174,22,5,The impact of rainfall on both the earth and creation,2,تأثير إنزال المطر على كل من الأرض والخلق,TAAK_2_22_5
68,Tafsir Ayat Al Konia,175,182,22,65,The forces that hold the heavens from falling upon the earth,2,القوى التي تمسك السماء أن تقع على الأرض,TAAK_2_22_65
69,Tafsir Ayat Al Konia,183,192,22,73,The wonders of creation in the fly,2,من غرائب الخلق في الذبابة,TAAK_2_22_73
70,Tafsir Ayat Al Konia,199,252,23,12-14,"The creation of man from an extract of clay, then from a drop of fluid to a clinging clot, then a chewed-like lump, and the stages of embryonic development",2,خلق الإنسان من سلالة من طين ثم من نطفة فعلقة ثم مضغة ، ومراحل تكون الجنين ,TAAK_2_23_12-14
71,Tafsir Ayat Al Konia,253,266,23,18,"The characteristics of water formation, the water cycle around the earth, and its preservation from stagnation",2,صفات تكوين الماء ودورة الماء حول الأرض والحفاظ عليه من العطن,TAAK_2_23_18
72,Tafsir Ayat Al Konia,267,274,23,20,Wonders of the Olive Tree and Its Benefits.,2,غرائب شجرة الزيتون وفوائدها,TAAK_2_23_20
73,Tafsir Ayat Al Konia,279,288,24,40,The miraculous analogy of misguidance with darkness and the presentation of examples of obscurities.,2,التشبيه المعجز للضلال بالظلماء وضرب أمثلة للظلمات,TAAK_2_24_40
74,Tafsir Ayat Al Konia,289,298,24,43,"The specification of the stages of cloud formation, whether they are rain- bearing or not.",2,تحديد مراحل تكون السحب سواء منها الممطرة وغير الممطرة,TAAK_2_24_43
75,Tafsir Ayat Al Konia,299,308,24,43,The formation of hail within clouds and the manner in which the phenomena of thunder and lightning occur.,2,تكون البَرَد فى السحب وكيفية حدوث ظاهرتى الرعد والبرق,TAAK_2_24_43
76,Tafsir Ayat Al Konia,309,320,24,45,The creation of every living creature from water and the classification of creatures according to their modes of movement upon the earth.,2,خلق كل دابة من ماء وتصنيف الدواب طبقا لطريقة تحركها على الأرض,TAAK_2_24_45
77,Tafsir Ayat Al Konia,325,332,25,45-46,"The sphericity of the earth and its rotation around itself and the sun, which causes the phenomenon of the alternation of night and day.",2,كروية الأرض ودورانها حول نفسها وحول الشمس مما يسبب ظاهرة تعاقب الليل والنهار,TAAK_2_25_45-46
78,Tafsir Ayat Al Konia,333,340,25,47,"The affirmation of the truth that the origin of water on the earth is what it stores within its depths, not what comes from rainfall.",2,إثبات حقيقة أن أصل الماء فى الأرض هو ما تختزنه فى باطنها ، وليس ما يأتيها من ماء المطر,TAAK_2_25_47
79,Tafsir Ayat Al Konia,341,348,25,53,"The distinction between fresh water and salt water and the miraculous creation in the composition of each, such that they do not mix upon meeting.",2,الفرق بين الماء العذب والماء المالح وإعجاز الخلق فى تركيب كل منهما بحيث لا يختلطان عند التقائهما,TAAK_2_25_53
80,Tafsir Ayat Al Konia,349,362,25,54,"The miracle in the creation of the living cell, the formation of its genetic traits, and their differences in the water of the man and the water of the woman, resulting in the transmission of genetic traits from the parents to the offspring.",2,الإعجاز فى خلق الخلية الحية وتكون صفاتها الوراثية واختلافها فى كل من ماء الرجل وماء المرأة وما يترتب على ذلك من انتقال الصفات الوراثية من الأبوين إلى الجنين,TAAK_2_25_54
81,Tafsir Ayat Al Konia,369,378,27,18,The wonders of Allah's (Glorified and Exalted be He) creation in the nation of ants.,2,غرائب خلق الله (سبحانه وتعالى) فى أمة النمل,TAAK_2_27_18
82,Tafsir Ayat Al Konia,379,384,27,20,The innate intelligence bestowed by Allah (Glorified and Exalted be He) upon the hoopoe.,2,الذكاء الفطرى الذى وهبه الله (سبحانه وتعالى) للهدهد,TAAK_2_27_20
83,Tafsir Ayat Al Konia,385,396,27,61,The meeting of two salt waters without mixing and the manner in which layers of each form a barrier between them.,2,التقاء الماءين المالحين دون أن يختلطا وكيفية حدوث طبقات من كل منهما تحجز بينهما,TAAK_2_27_61
84,Tafsir Ayat Al Konia,397,402,27,64,Allah (Glorified and Exalted be He) initiates creation in all types of creation and then repeats it.,2,الله (سبحانه وتعالى) يبدأ الخلق - كل أنواع الخلق - ثم يعيده,TAAK_2_27_64
85,Tafsir Ayat Al Konia,403,410,27,86,"The Wisdom of Allah (Glorified and Exalted be He) in Making the Day Bright and the Night Dark, The manner in which this occurs, given that the fundamental state of the universe is darkness.",2,حكمة الله (سبحانه وتعالى) فى جعل النهار مضيئا والليل مظلما وكيفية حدوث ذلك مع أن الأصل فى الكون هو الظلمة,TAAK_2_27_86
86,Tafsir Ayat Al Konia,415,422,29,41,"Why Allah (Glorified and Exalted be He) Described the Spider's House as the ""Weakest of Houses"" Despite the Strength of Its Webs",2,لماذا وصف الله (سبحانه وتعالى) بيت العنكبوت بأنه «أوهن البيوت» على الرغم من شدة خيوطه,TAAK_2_29_41
87,Tafsir Ayat Al Konia,427,432,30,1-4,The Qur'anic reference to the location where the Roman armies were defeated by the Persian armies as being the lowest point on the surface of the earth.,2,الإشارة القرآنية إلى الموقع الذى هزمت فيه جيوش الروم على أيدى جيوش الفرس بأنه أخفض منطقة عن سطح الأرض,TAAK_2_30_1-4
88,Tafsir Ayat Al Konia,433,444,30,19,"The exclusive ability of Allah (Glorified and Exalted be He) to create living beings from the primary materials that He brought into existence at the beginning of the creation of the universe—materials that are devoid of spirit and life—and after the soul is removed from the living being, its body returns to those primary materials from which it was initially created.",2,قدرة الله (سبحانه وتعالى) وحده على خلق الأحياء من المواد الأولية التى أوجدها مع بدء خلقه للكون وهى مواد ميتة لا روح فيها ولا حياة ، وبعد انتزاع الروح من الكائن الحى يعود جسده إلى تلك المواد الأولية التى بدأ خلقه منها,TAAK_2_30_19
89,Tafsir Ayat Al Konia,445,452,30,20,"The affirmation of the truth that Allah (Glorified and Exalted be He) created and continues to create people from the dust of the earth, and then they become human beings who spread out.",2,التأكيد على حقيقة أن الله (سبحانه وتعالى) خلق ولا يزال يخلق الناس من تراب الأرض ، ثم إذا هم بشر ينتشرون,TAAK_2_30_20
90,Tafsir Ayat Al Konia,453,460,30,41,"The miraculous Qur'anic indication that human actions have led and continue to lead to material corruption in the three environments of the earth: soil, water, and air.",2,الإشارة القرآنية المعجزة إلى أن أعمال البشر أدت وما زالت تؤدى إلى الإفساد المادى فى بيئات الأرض الثلاث التربة والماء والهواء,TAAK_2_30_41
91,Tafsir Ayat Al Konia,461,470,30,48,"The ability of Allah (Glorified and Exalted be He) to send winds that form clouds which carry rain, then spread them and drive them to pour water when and where He wills upon the earth, resulting in benefits for all living creatures and the continuation of their lives.",2,قدرة الله (سبحانه وتعالى) على إرسال الرياح التى تُكوِّن السحاب الذى يحمل الأمطار ثم بسطه له وسوقه ليسقط الماء حين يشاء وحيث يشاء على الأرض ، وما يترتب على ذلك من خير لكافة الكائنات الحية واستمرار حياتها,TAAK_2_30_48
92,Tafsir Ayat Al Konia,471,480,30,54,The concise and wondrous explanation of the human life cycle and the ability of Allah (Glorified and Exalted be He) to change the state of a human from weakness to strength and then return him once again to weakness and old age.,2,الشرح الموجز والمبهر لدورة حياة الإنسان وقدرة الله (سبحانه وتعالى) على تبديل حال الإنسان من ضعف إلى قوة ثم إعادته مرة أخرى إلى ضعف وشيبة,TAAK_2_30_54
93,Tafsir Ayat Al Konia,475,496,31,14,"The numerous difficulties and suffering endured by the mother during the period of pregnancy, The specification of the minimum duration of pregnancy—so that the fetus remains alive—is likewise optimal.",2,المصاعب العديدة والمعاناة التى تكابدها الأم خلال فترة الحمل وتحديد أقل مدة للحمل - ليبقى الجنين على قيد الحياة - وكذلك أفضل مدة للرضاعة,TAAK_2_31_14
94,Tafsir Ayat Al Konia,497,504,31,19,"The astonishing scientific fact  that the most unpleasant of sounds is the braying of donkeys, with  scientific evidence supporting this claim. Excessive exposure to this sound  may lead to various illnesses in humans. ",2,الإشارة إلى الحقيقة العلمية المبهرة التى مؤداها أن أنكر الأصوات هو صوت الحمير والإثبات العلمى لذلك ، وأن كثرة التعرض لهذا الصوت قد يصيب الإنسان بالعديد من الأمراض,TAAK_2_31_19
95,Tafsir Ayat Al Konia,57,66,32,8,How did Allah (Glorified and Exalted be He) create human progeny from a despicable fluid?,3,كيف جعل الله (سبحانه وتعالى) نسل الإنسان من ماء مهين ؟!,TAAK_3_32_8
96,Tafsir Ayat Al Konia,67,78,32,9,"The marvel of the embryo's formation; the process of sensory development, and the reason for the precedence of the sense of hearing over the sense of sight in numerous instances in the Qur'an, as well as the specification of the stage at which the soul is breathed into it.",3,الإبداع في تسوية الجنين، وكيفية تخليق الحواس، وسبب تقديم حاسة السمع على حاسة البصر في مواضع كثيرة في القرآن الكريم، وتحديد مرحلة نفخ الروح فيه,TAAK_3_32_9
97,Tafsir Ayat Al Konia,83,88,33,4,Why is it impossible for an individual to possess more than one heart within their chest?,3,لماذا استحال امتلاك الفرد الواحد لأكثر من قلب في جوفه؟,TAAK_3_33_4
98,Tafsir Ayat Al Konia,93,100,34,14,The earliest reference in human history to the fact that certain insects subsist on consuming wood.,3,أول إشارة في تاريخ البشرية إلى حقيقة أن من الحشرات ما يعيش على أكل الأخشاب,TAAK_3_34_14
99,Tafsir Ayat Al Konia,105,118,35,27,"The indication of the Divine creative power that enables each plant to select what suits it from the elements and compounds dissolved in water, resulting in each flower and fruit having its unique color, taste, and form, despite growing on the same soil and being watered with the same water.",3,الإشارة إلى القدرة الإلهية المبدعة التي تمكن كل نبتة من اختيار ما يناسبها من العناصر والمركبات المذابة في الماء، فتأتي كل زهرة وثمرة باللون والطعم والشكل الخاص بها، على الرغم من نموها على تربة واحدة، وسقياها بماء واحد,TAAK_3_35_27
100,Tafsir Ayat Al Konia,119,126,35,27,The Divine creativity in the variation of the streaks (veins) traversing the mountain rocks in their [diverse] colors,3, الإبداع الإلهي في اختلاف الجدد القاطعة لصخور الجبال في ألوانها,TAAK_3_35_27
101,Tafsir Ayat Al Konia,133,140,36,39,"The manner in which the successive phases of the moon vary each month, and the reason for describing the final phase of the moon's monthly cycle as the 'old dried date-stalk' (al-'urjun al-qadim).......",3,كيفية اختلاف مراحل القمر المتتالية في كل شهر، وسبب وصف المرحلة الأخيرة من مراحل الدورة الشهرية للقمر بالعرجون القديم,TAAK_3_36_39
102,Tafsir Ayat Al Konia,141,152,36,80,"Divine power in making the green tree a source of fire from which people kindle [flame], and the reciprocal relationship between the process of photosynthesis and the burning of plants",3,القدرة الإلهية في جعل الشجر الأخضر مصدرا للنار التي يوقد منها الناس، والعلاقة التبادلية بين عملية التمثيل الضوئي واحتراق النباتات,TAAK_3_36_80
103,Tafsir Ayat Al Konia,157,164,37,11,"The description of the creation of man from sticky clay, meaning clay that has lost some of its water content and thus became adhesive.",3,وصف خلق الإنسان من طين لازب.. أي طين فقد بعض الماء الذي يحتويه فأصبح لزقا,TAAK_3_37_11
104,Tafsir Ayat Al Konia,165,172,37,145-146,"The compounds present in the cucurbit family, which treat the condition experienced by the Prophet of Allah, Yunus (peace be upon him), after he was swallowed by the whale and then cast forth onto the open shore while he was unwell.",3,المركبات الموجودة في اليقطينيات، والتي تداوي الحالة التي مَرَّ بها نبي الله «يونس» (عليه السلام) بعد أن التقمه الحوت ولفظه في العراء وهو سقيم,TAAK_3_37_145-146
105,Tafsir Ayat Al Konia,177,184,39,5,"The Qur'anic indication of the earth's sphericity and its rotation on its axis at an angle relative to the sun, and how this results in the alternation of night and day.",3,الإشارة القرآنية إلى كروية الأرض ودورانها حول محورها بزاوية ميل مع الشمس، وكيف يؤدي ذلك إلى تبادل الليل والنهار,TAAK_3_39_5
106,Tafsir Ayat Al Konia,185,194,39,6,"The manner in which traits are transmitted from one generation to the next through carriers of inheritance, namely, genes.",3,كيفية انتقال الصفات من جيل إلى آخر عبر حاملات الوراثة، أي الجينات,TAAK_3_39_6
107,Tafsir Ayat Al Konia,195,203,39,6,"The divine command regarding creation and subjugation, and the revelation of the genetic code that can be activated in any clay medium for Allah (Exalted is He) to create as He wills, for He is capable of all things.",3,شرح الأمر الإلهي بالخلق والتسخير، وإنزال الشفرة الوراثية التي يمكنها أن تنشط في أي وسط طيني ليخلق الله (تعالى) ما يشاء، وهو على كل شيء قدير,TAAK_3_39_6
108,Tafsir Ayat Al Konia,203,216,39,6,"The Qur'anic description, remarkable in its precision, of the miracle of the embryo's development in its mother's womb, and its various stages within the ""embryonic membranes,"" the ""uterine wall,"" and the ""mother's abdomen,"" which are three successive layers of darkness.",3,الوصف القرآني المبهر في دقته لمعجزة نمو الجنين في رحم أمه، ومراحله المختلفة داخل «الأغشية الجنينية» و«جدار الرحم» و«بطن الأم» وهي ثلاث ظلمات متتالية,TAAK_3_39_6
109,Tafsir Ayat Al Konia,217,226,39,21,"The explanation of the water cycle around the earth, and the proof that all water beneath the earth's surface originates from rainwater, and that all water above and below the earth's surface was brought forth by Allah (Glorified is He) from within the earth.",3,بيان دورة الماء حول الأرض، وإثبات أن الماء الموجود تحت سطح الأرض جاء كله من ماء المطر، وأن كل الماء الموجود فوق سطح الأرض وتحته أخرجه الله (سبحانه) كله من داخل الأرض,TAAK_3_39_21
110,Tafsir Ayat Al Konia,227,238,39,62,"Various statements and examples affirming the reality of Allah's (Glorified and Exalted is He) creation of all that exists, including creatures, beings, and inanimate objects; the existence of a thing necessitates its Creator.",3,بيانات وأمثلة مختلفة تؤكد حقيقة خلق الله (سبحانه وتعالى) لكل ما في الوجود من مخلوقات وكائنات وجمادات ؛ فواجد الشيء واجب الوجود,TAAK_3_39_62
111,Tafsir Ayat Al Konia,243,254,40,64,"Allah the Almighty created the earth as a stable resting place (qarara) for humans, and an explanation of the various facets of meaning regarding how the earth was made a stable place for him.",3,خَلَق الله تعالى الأرض قرارا للإنسان، وشرح الأوجه للمعاني المختلفة لكيفية جعل الأرض قرارا له,TAAK_3_40_64
112,Tafsir Ayat Al Konia,259,272,41,10,"A statement that the determination of the earth's sustenance was completed in four different stages, and an explanation of the overlapping of these four stages with the six stages in which Allah (Glory be to Him) created the entire universe",3,بيان أن تقدير أقوات الأرض قد تم على أربع مراحل مختلفة، وشرح تداخل هذه المراحل الأربع مع المراحل الست التي خلق فيها الله (سبحانه وتعالى) الكون كله,TAAK_3_41_10
113,Tafsir Ayat Al Konia,273,280,41,37,"Explanation of the orderly rotation of the Earth around its tilted axis in relation to the sun, which results in the determination of the solar year, the climatic seasons, the passage of months and days, and the alternation of night and day.",3,شرح انتظام حركة دوران الأرض حول محورها المائل حول الشمس ؛ مما يؤدى إلى تحديد السنة الأرضية ، والفصول المناخية ، ومرور الشهور والأيام ، وتعاقب الليل والنهار,TAAK_3_41_37
114,Tafsir Ayat Al Konia,285,296,42,49-50,"The astonishing Qur'anic description explaining the differentiation of the fetus's gender (male or female) and affirming that the determination of the newborn's gender is established by the sperm that fertilizes the ovum, resulting in the newborn being male or female by the permission of Allah (Exalted is He).",3,الوصف القرآني المذهل لشرح كيفية اختلاف جنس الجنين (ذكر أم أنثى) وإثبات أن تحديد جنس الوليد يتحدد من الحيوان المنوى الذى يخصب البييضة ، فيكون جنس الوليد ذكراً أو أنثى بإذن الله (تعالى),TAAK_3_42_49-50
115,Tafsir Ayat Al Konia,301,306,45,6,"Clarification that the winds, which may appear to observers as tumultuous storms, actually have a precise distribution over the Earth's surface, governed by strictly regulated laws; meaning that the winds do not move in their various motions by themselves, but by the power of Allah (Exalted is He), who established these laws by His power (Glorified is He).",3,إيضاح أن الرياح التي تبدو للمراقب من الناس هوجاء عاصفة ، لها فى الحقيقة توزيع دقيق على سطح الأرض ، تحكمه قوانين شديدة الانضباط ، أى أن الرياح لا تتحرك فى حركاتها العديدة بذاتيتها ، ولكن بقدرة الله (تعالى) واضع هذه القوانين بقدرته (سبحانه),TAAK_3_45_6
116,Tafsir Ayat Al Konia,311,322,46,15,"Specification of the periods of gestation and weaning for the newborn as thirty months, and the determination of the weaning period as two years, which implies that the shortest duration of pregnancy in a human female is six months, a fact recently confirmed by embryology. It also explains the pains and dangers surrounding both the mother and the newborn until they come into the world by the permission of Allah (Exalted is He).",3,تحديد فترتى الحمل والفصال للوليد بثلاثين شهرا ، وتحديد فترة فصال الوليد فى عامين ، وهذا يعنى أن أقصر مدة للحمل فى أنثى الإنسان هي ستة أشهر ، وهو ما أثبته علم الأجنة مؤخرا. وشرح الآلام والمخاطر التى تحيط بكل من الأم والوليد حتى يجيء إلى الدنيا بإذن الله (تعالى,TAAK_3_46_15
117,Tafsir Ayat Al Konia,327,334,48,29,"A noble Qur'anic indication of a scientific fact in botany that was only recently discovered, which is the fact of reproduction in some plants through suckers: the buds that grow at the junction between the root and the stem.",3,إشارة قرانية كريمة لحقيقة علمية من حقائق علم النبات لم تعرف إلا مؤخرا ، وهى حقيقة التكاثر فى بعض النباتات بالأشطاء ، أى البراعم التى تنمو عند المنطقة الفاصلة بين الجذر والساق,TAAK_3_48_29
118,Tafsir Ayat Al Konia,339,350,50,4,"A scientific fact: that after the bodies of the deceased decompose in their graves, an important part remains, which is the ""coccyx.""",3,حقيقة علمية : أن أجساد الأموات بعد تحللها فى قبورها يبقى منها شىء مهم هو « عجب الذّنب ,TAAK_3_50_4
119,Tafsir Ayat Al Konia,351,362,50,6,"Affirmation of the cohesion of the heavens, and the negation of any form of disorder or disturbance within them.",3,إثبات تماسك السماء ، ونفى كل صورة من صور الخلل أو الاضطراب فيها,TAAK_3_50_6
120,Tafsir Ayat Al Konia,363,372,50,10,"An indication of the creative divine power manifest in the creation of the towering palm tree. With its towering height and endowed with both apparent and hidden environmental capabilities, the palm tree has become a proverbial example in the Qur'an.",3,إشارة إلى القدرة الإلهية المبدعة التى تتجلى فى خلق النخلة الباسقة ، بهذا الطول الفارع، وإعطائها من القدرات البيئية الظاهرة، والخفية المستترة، مما جعل النخل مضرب المثل في القرآن الكريم,TAAK_3_50_10
121,Tafsir Ayat Al Konia,377,392,51,7,"An explanation of the 'weaving' (structural intricacy) in the construction of the heavens, highlighting their vast expanse and their strictly tight coherence. [It also explains that] the heavens possess specific orbits for every one of their celestial bodies, despite their immense numbers and continuous floating motion.",3,شرح كيفية الحبك في بناء السماء، حيث إنها شاسعة الاتساع، وإن لها ترابطا محكما شديدا، وإنها ذات مدارات محددة لكل جرم من أجرامها، على الرغم من تعاظم أعدادها واستمرارية سبحها,TAAK_3_51_7
122,Tafsir Ayat Al Konia,393,402,51,20,"An explanation of some of the signs of Allah (Glory be to Him and the Exalted) in the creation of the Earth, and making it suitable for habitation and human life.",3,شرح بعض آيات الله (سبحانه وتعالى) في خلق الأرض، وجعلها صالحة للعمران وحياة الإنسان,TAAK_3_51_20
123,Tafsir Ayat Al Konia,403,414,51,22,"The demonstration and explanation of ""heavenly sustenance"" from various perspectives and different angles of cosmic sciences.",3,إظهار وشرح «رزق السماء» في أطر مختلفة، ومن زوايا مختلفة للعلوم الكونية,TAAK_3_51_22
124,Tafsir Ayat Al Konia,415,430,51,47,"The explanation and proof that the universe around us possesses unimaginable dimensions, and that this universe is perpetually expanding at speeds approaching the speed of light. This expansion indicates that the universe, in its inception, was close to a singular point of infinite energy and density, hence the ""Big Bang Theory,"" which has been unanimously accepted by physicists and astronomers in the modern era.",3,شرح وإثبات أن الكون من حولنا له أبعاد لا يمكن تخيلها، وأن هذا الكون دائم الاتساع، وبسرعات تكاد تصل إلى سرعة الضوء، وأن هذا الاتساع يدلل عن أن الكون في بدايته كان يقترب من نقطة واحدة لا نهائية الطاقة والكثافة، ومن هنا كانت «نظرية الانفجار العظيم»، والتي أجمع علماء الفيزياء والفلك على صحتها في العصر الحديث,TAAK_3_51_47
125,Tafsir Ayat Al Konia,431,444,51,48,"The spreading and preparation of the earth to accommodate various forms of life, including humans, animals, and plants, and the explanation of the earth's description at the beginning of its creation, and how Allah (Glorified and Exalted be He) prepared it over millions of years to reach its current state.",3,بسط الأرض وتمهيدها لتلائم مختلف صور الحياة فيها من إنسان، حيوان، نبات، وشرح وصف الأرض في بدايات خلقها.. وكيف هيأها الله (سبحانه وتعالى) عبر ملايين السنين لتصل إلى ما هي عليه الآن,TAAK_3_51_48
126,Tafsir Ayat Al Konia,445,456,51,49,"The emphasis on the principle of absolute pairing in the creation of everything, both living and non-living, at all levels: from the fundamental building blocks of matter to humans, and beyond to the units of the universe, in a true pairing that is a characteristic of harmony and concord in creation. This serves as an eloquent testimony to the absolute oneness of the Creator (Glorified and Exalted be He).",3,التأكيد على قاعدة الزوجية المطلقة في خلق كل شيء من الأحياء والجمادات، وعلى كل المستويات: من اللبنات الأولية للمادة إلى الإنسان، وإلى ما فوق ذلك من وحدات الكون، فى زوجية حقيقية هي سمة من سمات التناغم والتوافق في الخلق. وفى هذا شهادة ناطقة بالوحدانية المطلقة للخالق (سبحانه وتعالى),TAAK_3_51_49
127,Tafsir Ayat Al Konia,461,472,52,6,"The delicate balance between the immense quantities of water in the seas and oceans on one hand, and the massive amounts of molten rock (magma) surging from the depths of the Earth beneath these oceans and seas. This precise equilibrium between the opposites of water and intense heat is one of the most dazzling phenomena to scientists in our time; for the water is insufficient to extinguish the burning ember of the molten rock on one hand, nor is the heat of the magma capable of evaporating this water on the other.",3,الاتزان الدقيق بين الكميات الهائلة من مياه البحار والمحيطات من جهة ، والكميات الهائلة من الصهارة الصخرية المندفعة من باطن الأرض تحت هذه المحيطات والبحار ، هذا الاتزان الدقيق بين الأضداد من المياه والحرارة العالية من أكثر الأمور إبهارا للعلماء فى زماننا ، حيث لا تكفى المياه لإطفاء جذوة الصهارة الصخرية... ذلك من جهة ، ولا تقوى حرارة الصهارة على تبخير هذه المياه من جهة أخرى,TAAK_3_52_6
128,Tafsir Ayat Al Konia,477,494,53,33,"A cosmic sign confirming the origination of man from the earth, and his creation in successive embryonic stages within his mother's womb.",3,إشارة كونية على تأكيد إنشاء الإنسان من الأرض ، وعلى خلقه فى مراحل جنينية متتابعة فى بطن أمه,TAAK_3_53_33
129,Tafsir Ayat Al Konia,495,506,53,45-46,"A Qur'anic precedent elucidates the reality of the creation of the pairs (male and female) from a sperm-drop when emitted, then the sperm-drop undergoes several stages until the complete development of the embryo, at a time when the prevailing belief was that the embryo was generated from menstrual blood, and that it was created fully from this blood in a single, minuscule instance. This is from one perspective, and from another, it explains the factors that govern the stage of embryonic development and lead to the determination of the newborn's gender (male or female).",3,سبق قرآني يبين حقيقة خلق الزوجين (الذكر والأنثى) من نطفة إذا تمنى ، ثم تمر النطفة بمراحل عدة حتى تمام نمو الجنين ، فى زمن ساد فيه الاعتقاد بأن الجنين يتولد من دم الحيض ، وأنه يخلق كاملا من هذا الدم دفعة واحدة بالغة الضآلة. هذا من ناحية ، ومن ناحية أخرى ، شرح الأمور التى تتحكم فى مرحلة نمو الجنين وتؤدى إلى تحديد جنس المولود (ذكر أم أنثى),TAAK_3_53_45-46
130,Tafsir Ayat Al Konia,511,518,54,1,"An explanation of the issue of the splitting of the moon, which is an extraordinary miracle, almost beyond human imagination, yet from the mercy of Allah (Exalted is He) upon us, He has left in the rocks of the moon tangible evidence that confirms its occurrence.",3,شرح لقضية انشقاق القمر ، وهى معجزة خارقة ، لا يكاد العقل البشرى أن يتخيلها ، ولكن من رحمة الله (تعالى) بنا أن أبقى لنا فى صخور القمر من الشواهد الحسية ما يؤكد حدوثها,TAAK_3_54_1
131,Tafsir Ayat Al Konia,519,526,54,7,"Locusts fly completely exposed, except for the mercy of Allah Who provided them with a thin chitinous covering. [In contrast], people will be gathered on the Day of Resurrection barefoot, naked, and uncircumcised—as the Seal of the Prophets (peace be upon him) said—with nothing covering them except their skins... and the likening of the state of people on the Day of Resurrection to 'scattered moths'.",3,يطير الجراد عاريا تماما إلا من رحمة الله الذى زوده بغطاء قرنى رقيق ، والناس يحشرون يوم القيامة حفاة ، عراة ، غرلا ، كما قال خاتم الأنبياء (صلى الله عليه وسلم) لا يغطيهم إلا جلودهم.. وتشبيه حال الناس يوم القيامة بالفراش المبثوث,TAAK_3_54_7
132,Tafsir Ayat Al Konia,527,546,54,49,"Glimpses [Insights] of the Decree of Allah (Glorified and Exalted is He), in the determination of creation, such as the determination in the construction of the universe and in its movement; likewise, the determination in the construction of the atoms of elements, and in the construction of the living cell.",3,لمحات من تقدير الله (سبحانه وتعالى) ، فى تقدير الخلق ، كالتقدير فى بناء الكون ، وفى حركته ، أيضا التقدير فى بناء ذرات العناصر ، وفى بناء الخلية الحية,TAAK_3_54_49
133,Tafsir Ayat Al Konia,51,64,55,19-20,"The adjacent bodies of water in the seas are isolated due to the differences in their natural and chemical properties, despite their movement through one another. This phenomenon of separation among adjacent water masses is distinctly observed between semi-enclosed seas such as the ""Mediterranean"" and the ""Red Sea"". When water moves from one of these seas to the adjoining ocean, an intermediate water with distinct characteristics forms, completely separating the two water masses.",4,تنعزل الكتل المائية المتجاورة في البحار نظرا لاختلاف الصفات الطبيعية والكيميائية الخاصة للماء، وذلك على الرغم من تحركها عبر بعضها البعض، وتظهر صورة هذا العزل للكتل المائية المتجاورة بشكل واضح بين البحار شبه المغلقة كالبحرين «الأبيض»، و «الأحمر» حينما يتحرك الماء من أحدهما إلى المحيط المجاور، فيتكون بينهما ماء له صفات وسطية يفصل كلا من الكتلتين المائيتين فصلا كاملا,TAAK_4_55_19-20
134,Tafsir Ayat Al Konia,65,74,55,33,"Human beings and jinn are utterly incapable of penetrating the realms of the heavens and the earth. The divine punitive measure for attempting such a feat is the dispatch of molten copper, with its boiling droplets cascading across the sky upon anyone who endeavors this.",4,يعجز الإنسان والجان عن النفاذ من أقطار السماء والأرض عجزا تاما، والعقاب الإلهي الرادع على محاولة ذلك هو إرسال فلز النحاس المنصهر، والذي تغلي قطراته في صفحة السماء على كل من يحاول ذلك,TAAK_4_55_33
135,Tafsir Ayat Al Konia,79,90,56,58-59,"The boundless creative power of Allah in the creation of humankind is evident, with the perpetuation of the human species established through reproduction and procreation, a miraculous process. From two cells, invisible to the naked eye, each measuring no more than 0.005 millimeters in men and 0.02 millimeters in women, our Lord (Blessed and Exalted be He) creates the mature human, whose body comprises, on average, a thousand trillion specialized cells functioning in remarkable harmony.",4,طلاقة القدرة الإلهية المبدعة في خلق الإنسان، وجعل بقاء نوعه قائما على التكاثر بالتناسل - وهي عملية معجزة - فمن خليتين لا تريان بالعين المجردة لا يزيد طول الواحدة منها في الرجل على ٠.٠٠٥ من الملليمتر، وفي المرأة عن ٠.٠٢ من الملليمتر، يخلق ربنا (تبارك وتعالى) الإنسان اليافع الذي يتكون جسده من ألف تريليون خلية في المتوسط تنتظمها أنسجة متخصصة، في أعضاء متخصصة، في أنظمة متخصصة، تعمل في تناسق عجيب,TAAK_4_56_58-59
